OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu01704,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01705,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01706,Eukaryota,Chytridiomycota,Incertae_Sedis,Rhizophydiales,Rhizophydiales_unclassified,Rhizophydiales_unclassified
Otu01707,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01708,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01709,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01710,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales_fa,Chrysamoeba
Otu01711,Eukaryota,Protalveolata,Colpodellida,Colpodellida_or,Colpodellida_fa,Voromonas
Otu01712,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Blastocystis
Otu01713,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01714,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01715,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu01716,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01717,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01718,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu01719,Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Ulkenia
Otu01720,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01721,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu01722,Eukaryota,Arthropoda,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified
Otu01723,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01724,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu01725,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01726,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01727,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu01728,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01729,Eukaryota,Vertebrata,Mammalia,Mammalia_or,Mammalia_fa,Mammalia_ge
Otu01730,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01731,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01732,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01733,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01734,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01735,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01736,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01737,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01738,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01739,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01740,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01741,Eukaryota,Vertebrata,Mammalia,Mammalia_or,Mammalia_fa,Mammalia_ge
Otu01742,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01743,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01744,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01745,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01746,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01747,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01748,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01749,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01750,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01751,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01752,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_unclassified,Sporidiobolales_unclassified
Otu01753,Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes_cl,Labyrinthulomycetes_or,Thraustochytriaceae,Thraustochytriaceae_unclassified
Otu01754,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01755,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01756,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01757,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01758,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01759,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01760,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01761,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01762,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01763,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01764,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus
Otu01765,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01766,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus
Otu01767,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu01768,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01769,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01770,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01771,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01772,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01773,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01774,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01775,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01776,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01777,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus
Otu01778,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01779,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01780,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01781,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01782,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01783,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01784,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01785,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01786,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified
Otu01787,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01788,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01789,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01790,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01791,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01792,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01793,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01794,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01795,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01796,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01797,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01798,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01799,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01800,Eukaryota,Chlorophyta_ph,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified
Otu01801,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01802,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01803,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01804,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01805,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01806,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01807,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01808,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01809,Eukaryota,Bicosoecida,Bicosoecida_cl,Bicosoecida_or,Bicosoecida_fa,Bicosoecida_ge
Otu01810,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01811,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01812,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01813,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01814,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01815,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01816,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01817,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01818,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01819,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01820,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01821,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01822,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01823,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Hypotrichia_unclassified
Otu01824,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
Otu01825,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01826,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01827,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01828,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01829,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01830,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01831,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01832,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01833,Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Halochlorococcum
Otu01834,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01835,Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_unclassified,Hymenochaetales_unclassified
Otu01836,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01837,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01838,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01839,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu01840,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01841,Eukaryota,Basidiomycota,Exobasidiomycetes,Malasseziales,Incertae_Sedis,Malassezia
Otu01842,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01843,Eukaryota,Platyhelminthes,Catenulida,Catenulida_or,Stenostomidae,Stenostomidae_ge
Otu01844,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01845,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01846,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01847,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01848,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01849,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01850,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01851,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01852,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01853,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01854,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu01855,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01856,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu01857,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas
Otu01858,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01859,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu01860,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01861,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01862,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01863,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu01864,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01865,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01866,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu01867,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu01868,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01869,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01870,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01871,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01872,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01873,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01874,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu01875,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified
Otu01876,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01877,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01878,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01879,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01880,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01881,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01882,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01883,Eukaryota,Ochrophyta,Chrysophyceae,Chrysophyceae_unclassified,Chrysophyceae_unclassified,Chrysophyceae_unclassified
Otu01884,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01885,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01886,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu01887,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01888,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01889,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01890,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01891,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu01892,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu01893,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01894,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01895,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01896,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01897,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01898,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01899,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01900,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01901,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu01902,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
