Group,C,K,n,L0_G,L1_G,L8_G,L9_G,L10_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_1_G,S20_2_G,S20_3_G,S20_4_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_1_R,S20_2_R,S20_4_R
ASV000058,0.0,16.5,2.6842105263157894,61.666666666666664,48.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,48.666666666666664,0.0,7.0,0.0,0.0,49.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000059,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.333333333333336,26.333333333333332,20.666666666666668,12.0,30.666666666666668,0.0,26.666666666666668,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,15.0,140.0,18.0,4.0,20.0
ASV000060,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,56.666666666666664,103.33333333333333,20.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0
ASV000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.33333333333333331,8.6666666666666661,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,22.0
ASV000062,0.0,0.0,1.8421052631578947,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000063,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.33333333333333331,0.0,0.0,3.3333333333333335,51.333333333333336,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,24.0,0.0
ASV000064,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.333333333333336,34.333333333333336,38.333333333333336,12.0,43.666666666666664,5.0,4.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,19.0,3.0
ASV000065,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,30.0,74.666666666666671,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,263.0,0.0,0.0,0.0,22.0,0.0
ASV000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,12.333333333333334,0.0,0.0,0.66666666666666663,0.0,0.33333333333333331,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000067,0.0,0.0,0.052631578947368418,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,32.5,0.0,0.0,42.0,0.0,16.666666666666668,90.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0
ASV000068,0.0,0.0,0.052631578947368418,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.333333333333336,54.666666666666664,0.0,13.333333333333334,1.3333333333333333,13.0,0.66666666666666663,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,29.0
ASV000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000071,0.0,0.0,0.0,236.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000072,3.0,0.0,0.052631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,101.66666666666667,33.666666666666664,0.0,42.0,0.0,0.0,32.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000073,5.5,9.0,1.631578947368421,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.666666666666667,0.0,5.0,30.666666666666668,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,11.0,0.0,14.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000074,0.0,0.0,1.1052631578947369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,40.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0
ASV000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000076,0.0,0.0,0.0,4.666666666666667,0.0,5.0,44.0,5.0,0.0,21.5,36.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,69.0,71.0,80.0,35.0,0.0,9.0,0.0,135.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0
ASV000077,0.0,0.0,0.0,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333331,220.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
