Group,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6
ASV000310,0,0,0,19,0,0,0,0,0,0,0,0
ASV000311,0,0,0,0,0,0,0,92,0,0,0,0
ASV000312,0,0,0,0,0,0,0,0,0,0,0,0
ASV000313,0,0,0,0,0,0,0,0,0,0,0,0
ASV000314,0,0,0,0,0,0,0,0,0,0,0,0
ASV000315,0,0,0,0,0,0,0,0,0,0,0,0
ASV000316,0,0,0,0,0,0,0,0,0,0,0,0
ASV000317,0,0,0,0,0,0,0,0,0,0,0,0
ASV000318,0,0,0,0,0,0,0,0,0,0,0,0
ASV000319,0,0,0,0,0,0,0,0,0,0,0,0
ASV000320,0,0,0,0,0,0,0,0,0,0,0,0
ASV000321,0,0,89,0,0,0,0,0,0,0,0,0
ASV000322,0,0,0,0,0,0,0,0,0,0,0,0
ASV000323,0,0,0,0,0,13,0,0,0,0,0,0
ASV000324,0,0,0,0,0,0,0,0,0,0,0,0
ASV000325,0,0,0,0,0,0,0,0,0,0,0,0
ASV000326,0,0,0,0,0,0,0,0,0,0,0,0
ASV000327,0,0,0,0,0,0,0,0,0,0,13,0
ASV000328,0,0,0,0,0,0,0,0,0,0,0,0
ASV000329,0,0,0,0,0,0,0,0,0,0,0,0
ASV000330,0,0,0,0,0,0,0,0,0,0,0,0
ASV000331,0,0,0,0,0,0,0,0,0,0,0,0
ASV000332,0,0,0,0,0,0,0,0,0,0,0,0
ASV000333,0,0,0,0,2,0,0,46,0,0,0,0
ASV000334,0,0,0,0,0,0,0,0,0,0,0,0
ASV000335,0,0,0,0,0,0,0,0,0,0,0,0
ASV000336,0,0,0,0,0,0,0,0,0,0,0,0
ASV000337,0,0,0,0,0,0,0,85,0,0,0,0
ASV000338,0,0,0,0,0,0,0,0,0,84,0,0
ASV000339,0,0,0,0,0,0,0,0,0,0,0,0
ASV000340,0,0,0,0,0,0,0,0,0,0,0,0
ASV000341,0,0,0,0,0,0,0,0,0,0,0,0
ASV000342,0,0,0,0,0,0,0,0,0,0,0,0
ASV000343,0,0,0,0,0,5,0,0,0,0,0,0
ASV000344,0,0,0,0,0,0,0,0,0,0,0,0
ASV000345,0,0,0,0,0,0,0,0,0,0,0,0
ASV000346,0,0,0,0,0,0,0,0,0,0,0,0
ASV000347,0,0,0,0,0,0,0,0,0,0,0,0
ASV000348,0,0,0,0,0,0,0,0,0,0,0,0
ASV000349,0,0,0,0,0,0,0,0,0,0,0,0
ASV000350,0,0,0,0,0,0,0,0,0,0,0,0
ASV000351,0,0,0,0,0,0,0,0,0,0,0,0
ASV000352,0,0,0,0,0,0,0,0,0,0,0,0
ASV000353,0,0,0,0,0,0,0,0,0,0,0,0
ASV000354,81,0,0,0,0,0,0,0,0,0,0,0
ASV000355,0,0,0,0,0,0,0,0,0,81,0,0
ASV000356,0,0,0,0,0,0,0,0,0,0,0,0
ASV000357,0,0,0,0,0,0,0,0,0,0,0,0
ASV000358,0,0,0,0,0,0,0,0,0,0,0,0
ASV000359,0,0,0,0,0,0,0,0,0,0,0,0
ASV000360,0,0,0,0,0,0,0,0,0,0,0,0
ASV000361,0,0,0,0,0,0,0,0,0,0,0,0
ASV000362,0,0,0,0,0,0,0,0,0,0,0,0
ASV000363,0,0,0,0,0,0,0,0,0,0,0,0
ASV000364,0,0,0,0,0,0,0,0,0,0,0,0
ASV000365,0,0,0,0,0,0,0,0,0,0,0,0
ASV000366,0,0,0,0,0,0,0,0,0,0,0,0
ASV000367,0,0,0,0,0,0,0,0,0,0,0,0
ASV000368,0,0,0,0,0,0,0,0,0,0,0,0
ASV000369,0,0,0,0,0,0,0,0,0,0,78,0
ASV000370,0,0,0,0,0,0,0,0,0,0,0,0
ASV000371,0,0,0,2,0,0,0,0,0,0,0,0
ASV000372,0,0,0,0,0,0,0,0,0,0,0,0
ASV000373,0,0,0,0,0,0,0,0,0,0,0,0
ASV000374,0,0,0,0,0,0,0,0,0,0,0,0
ASV000375,0,0,0,0,0,0,0,0,0,0,0,0
ASV000376,0,0,0,0,0,0,0,0,0,0,71,0
ASV000377,0,0,0,0,0,0,0,0,0,0,0,0
ASV000378,0,0,0,0,0,0,0,0,0,0,0,0
ASV000379,0,0,0,0,0,0,0,0,0,0,0,0
ASV000380,0,0,0,0,0,0,0,0,0,0,0,0
ASV000381,0,0,0,0,0,0,0,0,0,0,0,0
ASV000382,0,0,0,0,0,0,0,0,0,0,0,0
ASV000383,0,0,0,0,0,0,0,0,0,0,0,0
ASV000384,0,0,0,0,0,0,0,0,0,0,0,0
ASV000385,0,0,0,0,0,0,0,0,0,0,0,0
ASV000386,0,0,0,0,0,0,0,0,0,0,0,0
ASV000387,0,0,0,0,0,0,0,0,0,0,0,0
ASV000388,0,0,0,0,0,0,0,0,0,0,0,0
