Group,L0_G,L1_G,L3_G,L4_G,L6_G,L8_G,L9_G,L10_G,L11_G,L12_G,L13_G,L14_G,L16_G,L17_G,L18_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L2_R,L3_R,L5_R,L6_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L16_R,L18_R,L19_R,L20_R,S16_R,S17_R,S18_R,S19_R,S20_R
Otu000031,0.010889687,0,0,1.062470883,0,0,0.009741209,0.013748067,0.037200753,0.048084629,0.045739948,0.027711797,0.080850081,0.031307304,0.067374095,0.00853898,0.023023519,2.092783042,0.39704896,0.674205022,1.248660236,0.948772265,0.049763623,0.04576659,0,0,0.414937759,0,0,0.020693223,0,0,0,0,0,0.010413412,0,0.027675277,0,0.029605507,0,0.043023706,0,0
Otu000032,0.032669062,0.03045067,0.419664269,0.195362397,0.014386419,0.543806647,1.048803455,0.732084551,0.884064948,1.009777208,0.403343174,0.292953286,0.646800647,1.015251129,0.399432133,0.981982751,2.899192406,0.037424589,0.001341382,0,0,0,0,0.04576659,0.091575092,0,0,0,0.009948269,0.010346611,0.027866797,0.092317161,0.018511662,0.306693126,0.840276797,2.634593356,0,0,0,0.140626156,0.48422368,0,0,0
Otu000033,0.054448437,0.852618758,0,1.36152563,0,0,0.243530214,0.0618663,0.080966344,0,0.024949062,0.023752969,0.161700162,0,0,0,0,0.064370294,0.001341382,0.005308701,0,0,0,0.137299771,0.091575092,0,0,0,0.009948269,0,0.195067577,0.041029849,0.203628286,0.360815443,0.388363226,0.0833073,0.037400655,0.119926199,0,0.791947302,0.046860356,0.309770684,1.452816776,0.330278259
Otu000034,0.010889687,0.411084044,0.239808153,0.028552966,0,0.302114804,0.415624899,0.089362433,0.507680861,0.112197468,0,0,0,0.004472472,0,0,0.00177104,0,0.846411804,1.99076286,1.002143623,4.7229764,0,0.091533181,0.549450549,0,0,0,0,0,0.013933398,0,0,0,0,0,0,0.009225092,0,0,0,0.133373489,0,0
Otu000035,0,0,0,0.006011151,0,0,0.025976556,0.006874033,0.013129677,0.048084629,0.020790885,0,0,0.013417416,0,0,0.0088552,0.392209697,0.197183099,0.153952328,0.793140407,1.444043321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025814224,0.004442865,0.004128478
Otu000036,0,0,0,0,0,0,0.029223626,0.044681217,0.015317957,0.01602821,0.033265416,0.079176564,4.192654193,0.478554497,0.6809596,1.15276236,0.39494191,0.690109429,0.773977197,0.568031003,0.618971061,0.423665603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030116594,0,0.008256956
Otu000037,0,0,0,0.108200712,0.050352467,0.060422961,0.048706043,0.099673483,0.10066086,0.112197468,0.099796249,0.498812352,0.057750058,0.147591574,0.038499483,0.017077961,0.026565599,0.821843984,0.132796781,0.403461273,0.179528403,0.077572575,0,0.961098398,0.183150183,0,0,0.158640227,0.059689614,0.196585618,0.153267382,0.348753718,0.351721585,0.018040772,0.190651038,0.177028012,0.112201964,0.073800738,0.01391014,1.213825772,0.48422368,0,0.226586103,0.247708695
Otu000038,0,0.03045067,0,0,2.344986333,0,0.006494139,0,0.015317957,0.208366725,0.004158177,0,0.046200046,0.076032023,0,0,0,0,0.002682763,0,0,0,0.024881811,0.04576659,0,0,3.153526971,0.011331445,0.606844409,0.093119503,0.264734569,0.564160427,0.481303221,1.822117987,1.292190369,10.22597105,2.805049088,2.749077491,2.044790652,0.15542891,3.983130272,0.722798262,1.168473432,1.032119561
Otu000039,0,0.045676005,0.119904077,0.132245315,0,0,0.012988278,0.013748067,0.061271828,0.080141048,0.012474531,0.019794141,0,0.02236236,0.004812435,0,0.01416832,2.041885601,0.245472837,2.160641291,0.953912111,0.325208103,0,0,0,0,0,0,0,0.010346611,0,0,0,0,0,0,0,0,0,0,0,0.0731403,0,0.004128478
Otu000040,0,0,0,0.003005575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005987934,0.042924212,0.063704412,0.13397642,0.092490378,0,0,0,0,0,0.033994334,0,0.020693223,0,0.071802236,0.055534987,0,0.028244598,0,0.009350164,0.018450185,0,0.02220413,0.015620119,0.008604741,0,0.004128478
Otu000041,0,0,0,0,0,0,0,0,0.168497527,1.170059304,1.434571084,0.455265241,2.76045276,0.845297196,0.596741981,2.68123986,0.607466704,0.670648643,0.672032193,0.307904656,0.26795284,0.355043709,0,0,0,0,0,0,0,0,0,0.010257462,0,0,0,0,0,0,0,0,0,0.064535559,0,0
Otu000042,0,0,0,0.003005575,0,0,0,0,0,0.01602821,0.008316354,0,0,0.008944944,0,0,0,0.124249637,0.095238095,0.084939215,0.4528403,0.146194468,0,0.04576659,0,0,0,0,0,0.010346611,0,0,0,0,0.00706115,0,0,0,0,0,0,0.004302371,0,0
Otu000043,0,0.593788063,0,0.204379123,0.122284563,0.181268882,0.042211904,0.15466575,1.205742046,0.01602821,0.020790885,1.753760887,0.496650497,0.979471354,0.724271518,1.818802835,0.189501275,0.023951737,0.084507042,0.005308701,0.002679528,0,0.049763623,0.732265446,1.282051282,0.004852484,0,0,2.248308794,0.062079669,0.013933398,0,0.037023325,0.090203861,0.508402768,0.322815787,0.074801309,1.706642066,0.180831826,0.207238546,0.078100594,0.35279439,0,0.020642391
Otu000044,0.174234999,0,0,0.006011151,1.043015393,0.483383686,0.701367016,0.945179584,2.455249683,2.035582625,0.756788224,0.344418052,0.092400092,0.228096069,0.115498448,0.00853898,0.026565599,0.345803207,0.122065728,0.010617402,0,0,0.149290868,0.366132723,0.732600733,0,0,0.011331445,0.039793076,0.031039834,0.097533788,0.051287312,0.018511662,0,0,0.04165365,0.187003273,0.138376384,0.57031576,0.02220413,0.046860356,0.098954524,0,0.243580216
Otu000045,0,0.289281364,0.35971223,0.117217438,0,0.422960725,0.623437348,1.653205018,1.004420325,0.288507774,0.108112603,0.04354711,0.127050127,0.272820788,0.324839385,0.495260866,1.108671012,0.001496984,0,0,0,0,0,0.04576659,0.732600733,0,0,0,0.009948269,0.103466115,1.045004877,0.748794748,0.481303221,0.469060076,0.409546674,1.103821722,1.131369799,0.544280443,1.98915009,0.037006883,0.156201187,0.030116594,0,0
