Group,S2014plt4,S2015plt4,S2016plt4,S2024plt4,S2025plt4,S2026plt4,S2034plt4,S2035plt4,S2036plt4,S2045plt4,S2046plt4,S204Aplt4
Otu00406,0,0,0,0,0,0,0,0,0,0,0,0
Otu00407,0,0,0,0,0,0,0,0,0,0,0,0
Otu00408,0,0,0,0,0,0,0,0,0,0,0,0
Otu00409,0,0,0,0,0,0,0,0,0,0,0,0
Otu00410,0,0,0,0,0,0,0,0,0,0,0,0
Otu00411,0,0,0,0,0,0,0,0,0,0,0,0
Otu00412,0,0,0,0,0,0,0,0,0,0,0,0
Otu00413,0,0,0,0,0,0,0,0,0,0,0,0
Otu00414,0,0,0,0,0,0,0,0,0,0,0,0
Otu00415,0,0,0,0,0,0,0,0,0,0,0,0
Otu00416,0,0,0,0,0,0,0,0,0,0,0,0
Otu00417,0,0,0,0,0,0,0,0,0,0,0,0
Otu00418,0,0,0,0,0,0,0,0,0,0,0,0
Otu00419,0,0,0,0,0,0,0,0,0,0,0,3
Otu00421,0,0,0,0,0,0,0,0,0,0,0,0
Otu00422,0,0,0,0,0,0,0,0,0,0,0,0
Otu00423,0,0,0,0,0,0,0,0,0,0,0,0
Otu00424,0,0,0,0,0,0,0,0,0,1,0,0
Otu00425,0,0,0,0,0,0,0,0,0,0,0,0
Otu00426,0,0,0,0,0,0,0,0,0,0,0,0
Otu00428,0,0,0,0,0,0,0,0,0,0,0,0
Otu00430,0,0,0,0,0,0,0,0,0,0,0,0
Otu00431,0,0,0,0,0,0,0,0,0,0,0,0
Otu00432,0,0,0,0,0,0,0,0,0,0,0,0
Otu00433,0,0,0,0,0,0,0,0,0,0,0,0
Otu00434,0,0,0,0,0,0,0,0,0,0,0,0
Otu00435,0,0,0,0,0,0,0,0,0,0,0,0
Otu00436,0,0,0,0,0,0,0,0,0,0,0,0
Otu00437,0,0,0,0,1,0,0,1,0,0,0,0
Otu00438,0,0,0,0,0,0,0,0,0,0,0,0
Otu00439,0,0,0,0,0,0,0,0,0,0,0,0
Otu00441,0,0,0,0,0,0,0,0,0,0,0,0
Otu00442,0,0,0,0,0,0,0,0,0,0,0,0
Otu00443,0,0,0,0,0,0,0,0,0,0,0,0
Otu00445,0,0,0,0,0,0,0,0,0,0,0,0
Otu00447,15,0,0,0,0,0,0,0,0,0,0,0
Otu00448,0,0,0,0,0,0,0,0,0,0,0,0
Otu00449,0,0,0,0,0,0,0,0,0,0,0,0
Otu00450,0,0,0,0,0,0,0,0,0,0,0,0
Otu00451,0,0,2,0,0,0,0,0,0,0,0,0
Otu00452,0,0,0,0,0,0,0,0,0,0,0,0
Otu00453,0,0,0,0,0,0,0,0,0,0,0,0
Otu00454,0,0,0,0,0,0,0,0,0,0,0,0
Otu00455,0,0,0,0,0,0,0,0,0,0,0,0
Otu00459,0,0,0,0,0,0,0,0,0,0,0,0
Otu00460,0,0,0,0,0,0,0,0,0,0,0,0
Otu00461,0,0,0,0,0,0,0,0,0,0,0,0
Otu00462,0,1,0,0,0,0,0,0,0,0,0,0
Otu00463,0,0,0,0,0,0,0,0,0,0,0,0
Otu00464,0,0,0,0,0,0,0,0,0,0,0,0
Otu00465,0,0,0,0,0,0,0,0,0,0,0,0
Otu00466,0,0,0,0,0,0,0,0,0,0,0,0
Otu00467,0,0,0,0,0,1,0,0,0,0,0,3
Otu00468,0,0,0,0,0,0,0,1,0,0,0,0
Otu00470,5,0,0,0,0,0,0,0,0,0,0,0
Otu00471,0,0,0,0,0,0,0,0,0,0,0,0
Otu00472,0,0,0,0,0,0,0,0,0,0,0,0
Otu00473,0,0,0,0,0,0,0,0,0,0,0,0
Otu00474,0,0,0,0,0,0,0,0,0,0,0,0
Otu00475,0,0,0,0,1,0,0,0,0,0,0,0
Otu00477,0,0,0,0,1,0,0,0,0,0,0,0
Otu00478,0,0,0,0,0,0,0,0,0,0,0,0
Otu00479,0,1,0,0,0,0,0,0,0,0,0,0
