Group,L0_G,L1_G,L8_G,L9_G,L10_G,L12_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_2_G
Otu00104,0,0,0,0,0,0,0,0,0,0,0,0.014671843,0.006521883,0,0,0.00097099
Otu00105,0,0,0,0,0,0,0,0,0,0,0.000327118,0.000977517,0.000651042,0.000651361,0,0
Otu00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002601626,0.013040581,0
Otu00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00111,0,0,0,0,0,0,0,0,0,0,0,0,0.000651042,0,0,0
Otu00112,0.000652316,0.020750988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00113,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0.004807692,0,0.00391262,0
Otu00114,0,0,0,0,0,0,0,0,0,0,0,0,0.006523157,0,0,0.002868069
Otu00115,0,0,0,0,0.000652316,0,0,0,0.016160627,0,0.00423464,0,0,0,0,0
Otu00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00118,0,0,0,0,0,0,0,0,0.000488281,0,0,0,0,0,0,0
Otu00119,0,0,0,0,0,0,0,0,0.001958864,0,0,0,0.002929688,0.000326158,0,0
Otu00120,0.000652316,0.019762846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00121,0,0,0,0,0.001301766,0,0,0,0.006856024,0,0,0,0.003255208,0,0,0
Otu00122,0,0,0,0,0,0,0,0,0,0,0.011067708,0.003912938,0,0,0,0.000318674
Otu00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00124,0,0,0.009756098,0,0.000976245,0,0,0,0,0,0,0,0.008153947,0,0,0.000328084
Otu00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00129,0,0,0,0,0.001302083,0,0,0,0.006856024,0,0,0.000977517,0,0.002601626,0.001627604,0
Otu00130,0,0,0,0,0,0.009794319,0.003917728,0,0,0,0.006203069,0.001955034,0,0.002601626,0,0
Otu00131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00132,0,0,0,0,0,0,0,0,0,0,0.001953125,0,0.006521246,0.003579151,0,0
Otu00133,0,0,0,0,0,0,0,0,0,0,0.001962709,0.007338074,0,0.000327118,0,0.000637349
Otu00134,0,0,0,0,0,0,0,0,0,0,0,0,0.003587736,0.000327118,0.001956947,0
Otu00135,0,0,0,0,0,0,0,0,0,0,0,0.005865103,0,0,0,0
Otu00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00138,0,0,0,0,0,0,0,0,0,0,0.001962709,0,0.0009772,0.000326158,0.001955673,0
Otu00139,0.000651997,0,0,0.000976563,0.000976882,0,0,0,0.000488281,0,0,0,0,0,0,0
Otu00140,0,0,0,0,0,0,0,0,0.000976563,0,0,0,0,0,0,0.014350946
Otu00141,0,0,0.009756098,0,0,0,0,0,0,0,0.00163559,0.000977517,0,0.000326158,0,0
Otu00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00143,0,0,0,0,0,0,0,0,0.041625857,0,0,0.001956947,0,0,0,0
Otu00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976563,0
Otu00145,0,0,0.00097561,0,0,0,0,0.00097561,0,0,0.001302083,0,0,0,0,0
Otu00146,0,0,0,0,0,0,0,0,0,0,0.002944063,0.001955034,0.000641026,0.000326158,0,0.000326158
Otu00147,0.000651997,0,0,0,0.000325521,0,0,0.000487805,0,0,0,0,0,0,0,0
Otu00148,0,0,0,0,0,0,0,0,0,0,0,0,0.003587736,0,0.003261579,0
Otu00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00150,0,0,0,0,0,0,0,0,0,0,0,0,0.003205128,0,0,0
Otu00151,0,0,0,0,0,0,0.000979432,0,0,0,0,0,0,0,0.000977837,0
Otu00152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00154,0,0,0,0,0,0,0,0,0,0,0,0,0.005458734,0,0.000325521,0
Otu00155,0,0,0,0,0,0,0,0,0,0,0,0,0.008480104,0,0,0
Otu00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00157,0.000326477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001628878,0
Otu00161,0,0,0,0,0,0,0,0,0,0,0.005546632,0,0,0,0,0
Otu00162,0,0,0.013658537,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00163,0,0,0,0,0,0,0,0,0,0,0.003263185,0,0,0,0.000325521,0
Otu00164,0,0,0,0.00390625,0,0,0,0,0.000976563,0,0,0,0,0.000654236,0,0
Otu00165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00166,0,0,0,0,0,0,0,0,0,0,0.001953125,0,0,0,0,0
Otu00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00168,0.000978474,0.002964427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00170,0,0,0,0,0,0,0,0,0,0,0.007823681,0,0,0,0,0
Otu00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327118,0.000652316,0
Otu00173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001304631,0
Otu00174,0.000326158,0.009881423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000977837,0.000637349
Otu00177,0,0,0,0,0,0,0,0,0,0,0,0.000977517,0,0,0,0
Otu00178,0,0,0,0,0,0,0,0,0,0,0.002289827,0,0,0,0,0
Otu00179,0,0,0,0,0,0,0,0,0,0,0,0.001466276,0,0,0,0
Otu00180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00182,0,0,0,0,0,0,0,0,0,0,0.001308472,0,0,0,0,0
Otu00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651679,0
Otu00188,0,0,0.007804878,0,0,0,0,0,0,0,0,0,0,0,0,0.001630789
Otu00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003253942,0,0
Otu00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00192,0,0,0,0,0,0,0.000979432,0,0,0,0,0,0,0,0,0
Otu00193,0,0,0,0,0,0,0,0,0,0,0.007523716,0,0,0,0,0
Otu00194,0,0.007905138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00196,0,0,0,0,0,0,0,0,0,0.005859375,0,0,0,0,0,0
Otu00197,0,0,0,0.006835938,0,0,0,0,0,0,0,0,0,0,0.000325521,0
Otu00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00199,0.000326158,0.003952569,0,0,0,0,0,0,0,0,0.001308472,0,0,0,0,0
Otu00200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00202,0,0,0,0,0,0,0,0,0,0,0.001308472,0,0.000652316,0,0,0.000318674
Otu00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00205,0,0,0,0.002929688,0,0,0,0,0,0,0,0,0,0,0,0
Otu00206,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0,0,0,0
Otu00207,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0
Otu00208,0,0,0,0,0,0,0,0,0,0,0.000651042,0,0.000967184,0,0.000326158,0
Otu00209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0
Otu00214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00218,0,0,0,0,0,0,0,0,0,0,0,0,0.003261579,0,0,0
Otu00219,0,0,0,0,0,0,0,0,0,0,0.004244205,0,0.002884615,0.000327118,0,0
Otu00220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00221,0,0,0,0,0,0,0,0,0,0,0.002285341,0.000488759,0,0,0.000652316,0.000956023
Otu00222,0,0,0,0,0.000325521,0,0,0,0,0,0,0,0,0,0,0
Otu00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652316
Otu00224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004552846,0,0
Otu00226,0,0,0,0,0,0,0,0,0,0,0.002929688,0,0,0,0,0
Otu00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000326158,0,0
Otu00228,0,0,0,0,0,0,0,0,0,0,0,0,0.001302083,0,0,0
Otu00229,0,0,0,0,0.000326158,0,0,0,0,0,0.017303297,0,0,0,0,0
Otu00230,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000325203,0,0
Otu00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00233,0,0.005928854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00234,0.000326158,0.005928854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00235,0,0,0,0,0,0,0,0,0,0.0234375,0,0,0,0,0,0
Otu00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00239,0,0,0,0,0,0,0,0,0,0,0,0.002443793,0,0,0,0
Otu00240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00242,0,0,0,0,0,0,0,0,0,0,0,0,0.000326158,0,0,0
Otu00243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000978474,0.000978474
Otu00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00246,0,0,0,0,0,0,0,0,0,0,0,0,0.005544684,0,0,0.001593372
Otu00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00250,0,0,0,0,0,0,0,0,0,0,0,0,0.000325521,0,0.000325521,0
Otu00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00253,0.000652955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000325521,0
Otu00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00262,0,0,0,0,0,0,0,0,0,0,0,0.001955991,0,0,0,0.000318674
Otu00263,0,0,0,0,0,0,0,0,0,0,0,0.001955034,0,0,0,0
Otu00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656168
Otu00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00272,0,0,0,0,0,0,0,0,0,0,0,0.000488759,0,0,0,0
Otu00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001956947
Otu00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00276,0,0,0,0,0,0,0,0,0,0,0,0.000977517,0,0.000326158,0,0
Otu00277,0,0,0,0,0,0,0,0,0,0,0,0.004403131,0,0,0,0
Otu00279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001630789,0
Otu00280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001304631
Otu00283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00284,0,0,0,0,0,0,0,0,0,0,0,0,0.001624507,0,0,0
Otu00285,0,0,0,0,0,0,0,0,0,0,0,0.001955034,0,0,0,0
Otu00286,0,0,0,0,0,0,0,0,0,0,0.001962709,0,0.002609263,0,0,0
Otu00287,0,0,0,0,0,0,0,0,0,0,0,0,0.001630789,0,0,0.000318674
Otu00288,0,0,0,0,0,0,0,0,0,0,0.000976563,0,0,0,0,0
Otu00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00292,0,0,0,0,0,0,0,0,0,0,0,0.001956947,0,0.000327118,0.000326158,0
Otu00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00294,0,0,0,0,0,0,0,0,0,0,0.001308472,0,0,0,0,0.002609263
Otu00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00297,0,0,0,0,0.000326158,0,0,0,0.011753183,0,0,0,0,0,0,0
Otu00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00301,0,0,0.00195122,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00302,0,0,0,0,0,0,0,0,0,0,0.000979432,0,0,0,0,0
