Group,Day 1,Day 2,Day 3,Day 4
ASV000172,54.666666666666664,0.0,0.0,0.0
ASV000173,0.0,0.0,0.0,0.0
ASV000174,0.0,0.0,0.0,0.0
ASV000175,0.0,2.6666666666666665,0.0,0.0
ASV000176,0.0,0.0,0.0,0.0
ASV000177,33.0,0.0,0.0,0.0
ASV000178,0.0,0.0,0.0,0.0
ASV000179,0.0,0.0,0.0,0.0
ASV000180,56.0,0.0,0.0,0.0
ASV000181,0.0,0.0,0.0,0.0
ASV000182,0.0,0.0,0.0,0.0
ASV000183,0.0,0.0,0.0,0.0
ASV000184,0.0,50.666666666666664,0.0,0.0
ASV000185,0.0,0.0,0.0,0.0
ASV000186,0.0,0.0,0.0,0.0
ASV000187,0.0,0.0,0.0,0.0
ASV000188,0.0,0.0,0.0,0.0
ASV000189,0.0,0.0,0.0,0.0
ASV000190,0.0,0.0,0.0,50.0
ASV000191,51.333333333333336,0.0,0.0,0.0
ASV000192,0.0,0.0,0.0,0.0
ASV000193,0.0,0.0,0.0,0.0
ASV000194,21.666666666666668,0.0,0.0,0.0
ASV000195,49.333333333333336,0.0,0.0,0.0
ASV000196,0.0,0.0,0.0,49.0
ASV000197,0.0,0.0,0.0,0.0
ASV000198,0.0,0.0,0.0,0.0
ASV000199,0.0,0.0,0.0,0.0
ASV000200,0.0,0.0,0.0,0.0
ASV000201,0.0,0.0,0.0,0.0
ASV000202,0.0,0.0,0.0,0.0
ASV000203,0.0,0.0,0.0,0.0
ASV000204,0.0,0.0,0.0,0.0
ASV000205,12.0,0.0,0.0,0.0
ASV000206,0.0,0.0,0.0,0.0
ASV000207,19.666666666666668,27.0,0.0,0.0
ASV000208,0.0,0.0,0.0,0.0
ASV000209,0.0,0.0,0.0,0.0
ASV000210,0.0,0.0,0.0,0.0
ASV000211,0.0,0.0,0.0,0.0
ASV000212,0.0,0.0,0.0,0.0
ASV000213,0.0,0.0,0.0,0.0
ASV000214,0.0,0.0,0.0,20.0
ASV000215,0.0,0.0,0.0,0.0
ASV000216,0.0,0.0,0.0,0.0
ASV000217,0.0,0.0,0.0,0.0
ASV000218,0.0,0.0,0.0,0.0
ASV000219,13.333333333333334,0.0,0.0,0.0
ASV000220,0.0,0.0,0.0,0.0
ASV000221,44.333333333333336,0.0,0.0,0.0
ASV000222,44.333333333333336,0.0,0.0,0.0
ASV000223,0.0,0.0,0.0,0.0
ASV000224,0.0,0.0,0.0,0.0
ASV000225,0.0,0.0,0.0,35.0
ASV000226,0.0,0.0,0.0,0.0
ASV000227,0.0,0.0,0.0,0.0
ASV000228,0.0,0.0,0.0,0.0
ASV000229,0.0,0.0,0.0,0.0
ASV000230,0.0,0.0,0.0,0.0
ASV000231,9.6666666666666661,0.0,0.33333333333333331,0.0
ASV000232,0.0,0.0,0.0,0.0
ASV000233,24.666666666666668,0.0,0.0,0.0
ASV000234,0.0,0.0,0.0,39.333333333333336
ASV000235,42.0,0.0,0.0,0.0
ASV000236,0.0,0.0,0.0,41.666666666666664
ASV000237,0.0,0.0,0.0,38.333333333333336
ASV000238,0.0,0.0,0.0,0.0
ASV000239,0.0,0.0,0.0,0.0
ASV000240,1.6666666666666667,0.0,0.0,0.0
ASV000241,0.0,0.0,0.0,0.0
ASV000242,0.33333333333333331,0.0,0.0,33.666666666666664
ASV000243,0.33333333333333331,0.0,0.0,0.0
ASV000244,0.0,0.0,0.0,0.0
