Sample_ID,treatment0,treatment1,treatment2_daily_r,treatment3_daily,treatment4_LG,treatment5_RG,treatment6_beg_end,treatment7_beginning,treatment8_beg_end,treatment9_long_GR,treatment10_short_GR,treatment11_beg_end_S,treatment12_LS,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
L3_8,L3_G,G,,,G,G,,,,G,,,G,0.959386,1108,0.102888,177.105263,149.489068,235.8641,3.728523,3.646,3.811046
L3_A,L3_L,L,,,L,,,,,,,,,0.938776,1029,0.49174,193.772727,150.989424,276.356725,2.092771,1.967446,2.218097
L3_B,L3_R,R,,,,R,,,,R,,,,0.973148,1080,0.580556,97.909091,75.559244,154.568115,2.000218,1.888257,2.112179
L4_7,L4_G,G,,,G,G,,,,G,,,G,0.958491,1060,0.287736,154.3,129.148011,208.015392,2.90704,2.794738,3.019342
L4_8,L4_G,G,,,G,G,,,,G,,,G,0.933452,1127,0.347826,268.625,215.658814,366.364087,3.153037,3.032787,3.273288
L4_9,L4_G,G,,,G,G,,,,G,,,G,0.92004,988,0.202429,271.375,213.297695,377.433583,3.402572,3.293217,3.511928
L4_A,L4_L,L,,,L,,,,,,,,,0.899217,1022,0.452055,478.3125,328.824153,752.765879,2.645638,2.509543,2.781734
L5_A,L5_L,R,,,,R,,,,R,,,,0.95632,1076,0.249071,192.083333,143.048924,299.691101,3.150257,3.052468,3.248046
L5_B,L5_R,R,,,,R,,,,R,,,,0.96,1125,0.244444,176.043478,153.42032,223.730263,3.670993,3.573382,3.768604
L6_7,L6_G,G,,,G,G,,,,G,,,G,0.96846,1078,0.362709,139.1,106.034649,219.629387,2.629662,2.521657,2.737667
L6_A,L6_L,L,,,L,,,,,,,,,0.900901,888,0.302928,342.4,255.901699,500.221799,3.30266,3.171922,3.433398
L6_B,L6_R,R,,,,R,,,,R,,,,0.955078,1024,0.145508,157.285714,131.444465,211.610027,3.329754,3.236664,3.422843
L7_A,L7_L,L,,,L,,,,,,,,,0.925478,993,0.382679,392.1,252.253435,682.092792,2.840352,2.714496,2.966209
L8_9,L8_G,G,,,G,G,,,,G,,,G,0.846232,982,0.208758,877.176471,593.37511,1371.617097,3.704214,3.583248,3.82518
L8_A,L8_L,L,,,L,,,,,,,,,0.884044,1009,0.225966,526.157895,371.678994,798.378306,3.258663,3.139664,3.377662
L8_B,L8_R,R,,,,R,,,,R,,,,0.917778,900,0.282222,260.619048,200.675126,372.885751,3.114734,2.990346,3.239122
L9_7,L9_G,G,,,G,G,,,,G,,,G,0.896266,964,0.169087,564.5,365.673967,948.335898,3.434144,3.32337,3.544918
L9_8,L9_G,G,,,G,G,,,,G,,,G,0.911495,983,0.2706,299.64,233.762926,417.327452,3.170463,3.049419,3.291508
L9_9,L9_G,G,,,G,G,,,,G,,,G,0.946498,1028,0.356031,214.071429,158.996099,328.62762,2.861487,2.748514,2.97446
L9_A,L9_L,L,,,L,,,,,,,,,0.88058,896,0.226562,364.033333,286.495822,495.492738,3.571386,3.44824,3.694531
L9_B,L9_R,R,,,,R,,,,R,,,,0.855895,916,0.323144,462,360.95829,626.470733,3.508665,3.370891,3.646439
S16_4,S16_G,SG,,,,SG,,,,,SG,,SG,0.947937,1018,0.160118,180.555556,141.439394,260.539741,3.065049,2.969607,3.160491
S16_5,S16_G,SG,,,,SG,,,,,SG,,SG,0.936235,988,0.177126,244.2,178.909769,375.163154,3.170204,3.069788,3.270619
S16_6,S16_G,SG,,,,SG,,,,,SG,,SG,0.953378,1051,0.277831,207.6,142.780263,352.025218,2.727448,2.626541,2.828356
S16_A,S16_R,SR,,,,SR,,,,,SR,,,0.94186,1032,0.393411,257.909091,173.181041,436.871117,2.425551,2.309984,2.541117
S17_4,S17_G,SG,,,,SG,,,,,SG,,SG,0.928571,1008,0.329365,316.615385,218.498198,512.470221,2.904054,2.788435,3.019673
S17_5,S17_G,SG,,,,SG,,,,,SG,,SG,0.936318,1005,0.174129,256,183.383513,402.487246,3.052524,2.950494,3.154554
S17_6,S17_G,SG,,,,SG,,,,,SG,,SG,0.971778,1063,0.23048,117.333333,87.916751,192.494313,2.664474,2.573077,2.755871
S17_A,S17_R,SR,,,,SR,,,,,SR,,,0.946482,1009,0.201189,216.076923,158.241789,337.939396,3.12264,3.02261,3.22267
S18_4,S18_G,SG,,,,SG,,,,,SG,,SG,0.935922,1030,0.18932,246.0625,179.972008,376.414051,3.158938,3.064139,3.253737
S18_5,S18_G,SG,,,,SG,,,,,SG,,SG,0.919747,947,0.179514,348.230769,239.790844,562.809585,3.352942,3.248111,3.457774
S18_6,S18_G,SG,,,,SG,,,,,SG,,SG,0.87253,1012,0.236166,620.526316,435.505544,942.749194,3.574121,3.460134,3.688108
S18_A,S18_R,SR,,,,SR,R_S_end,S20_R,,,SR,,,0.89108,1065,0.213146,398.4375,315.252481,536.868909,3.51179,3.395998,3.627583
S19_4,S19_G,SG,,,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.945598,1011,0.137488,180.565217,148.446922,244.476512,3.327098,3.230841,3.423354
S19_5,S19_G,SG,,,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.948566,1011,0.158259,205,151.015635,319.679422,3.166587,3.073414,3.25976
S19_6,S19_G,SG,,,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.950397,1008,0.210317,196.230769,145.971731,303.935143,3.171868,3.074493,3.269243
S19_A,S19_R,SR,,,,SR,R_S_end,S20_R,,,SR,,,0.90961,1051,0.250238,480.461538,316.200274,795.290448,2.963047,2.852345,3.073749
S20_1_4,S20_1_G,SG,daily_1,daily_1,,SG,,,,,SG,,,0.947421,1008,0.30754,206.833333,145.729218,337.428745,2.613293,2.503493,2.723093
S20_1_5,S20_1_G,SG,daily_1,daily_1,,SG,,,,,SG,,,0.967868,1027,0.333982,125.666667,90.603409,212.816979,2.553067,2.457387,2.648747
S20_1_6,S20_1_G,SG,daily_1,daily_1,,SG,,,,,SG,,,0.940783,1047,0.397326,268.909091,178.866453,457.987126,2.603969,2.494474,2.713465
S20_1_A,S20_1_R,SR,daily_1_r,,,SR,,,,,SR,,,0.908134,1045,0.179904,582,353.402116,1040.397823,3.044901,2.948768,3.141035
S20_2_4,S20_2_G,SG,daily_2,daily_2,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.930233,1118,0.297853,613.5,332.765316,1252.853432,2.735226,2.627612,2.842839
S20_2_5,S20_2_G,SG,daily_2,daily_2,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.954545,1034,0.307544,221.125,144.100921,400.259486,2.64546,2.539542,2.751377
S20_2_6,S20_2_G,SG,daily_2,daily_2,,SG,G_S_end,S20_G,S20_G,,SG,S20_G,SG,0.979284,1062,0.363465,126,72.961612,296.43744,2.041867,1.945159,2.138576
S20_2_A,S20_2_R,SR,daily_2_r,,,SR,R_S_end,S20_R,,,SR,,,0.920486,1069,0.181478,255.538462,216.542137,323.477525,3.362836,3.251806,3.473865
S20_3_4,S20_3_G,SG,daily_3,daily_3,,SG,,,,,SG,,,0.939901,1015,0.184236,210.315789,162.917228,303.641392,3.203042,3.1031,3.302984
S20_3_5,S20_3_G,SG,daily_3,daily_3,,SG,,,,,SG,,,0.936128,1002,0.187625,235.588235,177.17205,350.71598,3.207625,3.105359,3.30989
S20_3_6,S20_3_G,SG,daily_3,daily_3,,SG,,,,,SG,,,0.933532,1008,0.224206,279.928571,200.955616,437.891827,3.093214,2.982966,3.203461
S20_3_A,S20_3_R,SR,daily_3_r,,,SR,,,,,SR,,,0.894687,1054,0.363378,451.714286,327.006947,670.103972,3.071879,2.948666,3.195092
S20_4_4,S20_4_G,SG,daily_4,daily_4,,SG,,,,,SG,,,0.938477,1024,0.180664,274.75,190.746225,448.366124,3.251368,3.157383,3.345353
S20_4_5,S20_4_G,SG,daily_4,daily_4,,SG,,,,,SG,,,0.925628,995,0.146734,315.928571,221.135593,502.285766,3.389984,3.296808,3.48316
S20_4_6,S20_4_G,SG,daily_4,daily_4,,SG,,,,,SG,,,0.929,1000,0.136,345.909091,230.027307,583.838647,3.349101,3.256033,3.442169
S20_4_A,S20_4_R,SR,daily_4_r,,,SR,,,,,SR,,,0.97723,1054,0.388994,91.5,69.417223,152.854767,2.317448,2.223134,2.411761
