Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples
K01183,L17_8,1010927,3,0.030752672,0.092258016,0.010471204,3.07E-05
K01183,L17_8,208171,3,0.007688168,0.023064504,0.002617801,7.69E-06
K01183,L17_8,4481782,3,0.023064504,0.069193512,0.007853403,2.31E-05
K01183,L17_8,585394,3,0.015376336,0.046129008,0.005235602,1.54E-05
K01183,L17_9,275246,3,0.19193858,0.57581574,0.339622642,0.000191877
K01183,L17_9,939811,3,0.341224142,1.023672426,0.603773586,0.000341115
K01183,L17_9,1010927,3,0.021326508,0.063979524,0.037735848,2.13E-05
K01183,L17_9,208171,3,0.010663254,0.031989762,0.018867924,1.07E-05
K01183,L1_8,316869,3,0.145645208,0.436935624,0.652173913,0.000145599
K01183,L1_8,328043,3,0.058258083,0.174774249,0.260869564,5.82E-05
K01183,L1_8,79309,2,0.029129042,0.058258084,0.086956523,1.94E-05
K01183,L18_9,2353709,2,0.033682995,0.06736599,0.013448607,2.24E-05
K01183,L18_9,797229,1,0.238186893,0.238186893,0.047550432,7.94E-05
K01183,L18_9,275246,3,1.34250794,4.02752382,0.804034582,0.001342079
K01183,L18_9,939811,3,0.149167548,0.447502644,0.089337175,0.00014912
K01183,L18_9,325947,2,0.110672698,0.221345396,0.044188281,7.38E-05
K01183,L18_9,741010,3,0.002405928,0.007217784,0.001440922,2.41E-06
K01183,L18_B,797229,1,0.018682858,0.018682858,0.038461538,6.23E-06
K01183,L18_B,275246,3,0.11209715,0.33629145,0.692307696,0.000112061
K01183,L18_B,939811,3,0.018682858,0.056048574,0.115384614,1.87E-05
K01183,L18_B,208171,3,0.018682858,0.056048574,0.115384614,1.87E-05
K01183,L18_B,325947,2,0.009341429,0.018682858,0.038461538,6.23E-06
K01183,L1_9,316869,3,0.248911014,0.746733042,1,0.000248831
K01183,L19_8,797229,1,0.008538251,0.008538251,0.001788909,2.85E-06
K01183,L19_8,275246,3,1.2465847,3.7397541,0.78354204,0.001246186
K01183,L19_8,939811,3,0.324453552,0.973360656,0.203935599,0.00032435
K01183,L19_8,1104592,1,0.025614754,0.025614754,0.005366726,8.54E-06
K01183,L19_8,741010,3,0.008538251,0.025614753,0.005366726,8.54E-06
