Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
Otu000034,0,1,0,0,20,4,2,1,30,107,95,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,14,0,1,2,0,0,1,0,6,4,0,9,0,10,0,0,0,5,0,48,24,56,0,0,0,0,628,1,2,0,48,89,238,31,91,119,164,0,10,11,10,0,1,17,44,11,101,85,58,0,167,699,717,0,0
Otu000035,0,0,0,0,2,0,0,0,0,5,1,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,2,0,6,0,71,31,0,18,54,75,0,8,14,7,6,20,67,209,1,871,421,101,0,17,327,289,0,161,275,166,0,74,94,316,1,160
Otu000036,0,0,0,0,5,7,1,0,1,1,5,0,1,0,0,0,8,0,0,12,4,4,0,363,0,0,51,56,0,283,0,0,135,0,0,37,67,119,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,112,76,0,168,219,190,0,21,46,40,7,29,76,126,0,373,267,224,0,2,45,110,0,33,41,25,0,42,63,37,2,273
Otu000037,0,0,0,0,23,4,2,11,22,5,19,34,6,1,19,6,0,18,1,102,18,6,27,5,17,0,14,19,0,16,12,0,2,8,21,4,2,9,1,2,0,0,61,1,10,0,7,14,1,6,9,0,6,19,198,109,164,37,12,50,31,16,20,40,0,13,24,30,51,246,149,216,879,1,16,64,59,30,36,35,150,3,11,12,60,242
Otu000038,0,0,0,1,0,0,0,19,2,3,2,55,0,13,26,0,1,0,101,0,0,0,183,4,982,0,11,6,1,0,300,1,0,298,1,0,0,0,147,0,0,0,0,0,0,38,326,1,0,61,1,1,0,9,0,0,21,1,1,0,255,0,0,0,168,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,250,0
Otu000039,0,0,0,0,4,0,0,0,1,25,2,0,3,2,0,2,0,1,0,2,0,3,0,0,0,3,2,3,0,2,0,0,0,0,0,0,2,6,0,0,2,0,83,5,0,0,0,0,0,0,1,0,3,1,487,455,0,0,93,90,0,46,156,205,17,53,226,77,0,12,21,27,0,10,38,64,0,216,297,185,0,25,43,41,1,422
Otu000040,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,3,1,3,3,16,13,1,3,6,3,2,4,24,22,0,478,464,350,1600,6,61,109,34,31,13,11,54,6,2,23,1,0
Otu000041,0,0,0,0,0,0,0,0,0,28,49,1,28,45,0,66,80,199,0,90,20,5,0,239,0,0,92,97,0,248,0,0,314,0,0,101,95,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,0,4,67,430,0,21,29,8,15,16,34,50,0,0,0,0,0,0,0,4,0,11,5,1,0,49,45,25,0,358
Otu000042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,28,12,0,7,37,27,0,1,11,4,1,29,77,63,0,824,832,516,1,7,98,141,0,65,75,32,0,11,10,28,0,43
Otu000043,0,0,0,2,10,15,20,1,0,297,254,0,1,0,2,0,2,3,5,208,234,1,72,43,31,5,68,151,22,301,8,12,213,185,16,18,29,60,13,14,0,1,28,0,108,0,17,0,3,226,9,0,4,6,10,4,28,6,3,54,5,0,1,0,82,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,5,2
Otu000044,3,10,3,6,168,61,46,7,172,455,495,5,51,76,1,17,53,112,0,63,20,4,0,8,4,0,15,36,0,48,20,0,1,15,8,2,2,11,41,8,0,0,0,0,4,0,145,1,8,4,91,84,41,3,79,38,3,35,21,35,3,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,59,114
Otu000045,0,0,0,0,285,141,55,75,95,194,170,73,18,0,26,5,15,6,26,9,1,1,58,11,106,1,51,10,16,135,121,2,58,59,1,142,162,322,143,8,6,0,10,0,68,0,0,0,7,1,69,58,65,10,0,1,5,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000046,0,0,1,0,87,18,10,2,67,242,243,2,7,0,0,1,3,13,0,2,0,0,1,1,35,4,0,2,41,0,5,5,0,15,1,0,0,0,3,5,48,0,148,8,464,10,37,0,109,3,356,63,639,9,4,2,4,3,4,0,12,0,8,9,23,3,6,3,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,5,3,0
Otu000047,0,0,11,0,12,2,0,0,7,3,11,0,0,0,0,39,28,15,0,49,22,2,0,13,0,0,73,2,0,63,0,0,0,0,2,13,1,9,2,1,0,0,25,1,146,0,0,2,0,0,9,45,0,0,46,59,0,0,393,355,0,80,114,22,18,34,126,150,0,0,10,0,0,10,42,3,0,154,95,55,0,58,63,103,0,206
Otu000048,0,1,0,0,119,50,32,3,98,472,276,8,25,51,0,53,191,126,12,117,60,65,11,85,80,0,190,184,3,49,18,0,0,20,2,6,3,21,28,0,1,0,15,2,124,0,40,0,2,21,25,42,31,13,5,0,3,0,2,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
Otu000049,202,41,101,161,20,216,328,0,11,0,7,0,0,1,0,165,303,48,0,53,47,344,0,38,0,13,39,36,2,0,0,4,1,0,5,0,0,4,0,0,0,0,10,0,44,0,0,0,0,0,2,18,0,0,37,49,0,67,148,4,0,28,23,4,0,21,22,24,0,1,5,0,0,0,9,0,0,26,13,18,0,19,29,18,1,10
Otu000050,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,7,3,0,0,1,0,37,32,60,0,13,24,7,3,0,0,15,11,4,0,0,0,0,3,0,4,8,3,0,0,31,0,2,0,0,70,0,48,3,11,84,79,36,30,0,10,23,14,0,0,0,37,1,0,0,3,44
Otu000051,0,0,0,1,0,0,0,0,6,7,27,0,23,39,0,48,56,129,0,68,4,3,0,156,0,0,75,94,0,290,2,0,291,0,0,108,103,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,58,0,0,50,300,0,19,26,5,5,14,33,44,0,0,0,6,0,0,0,0,0,6,8,1,0,25,18,16,0,194
Otu000052,9,5,18,6,93,21,48,20,6,2,15,27,1,0,23,15,55,11,113,163,250,42,245,28,19,18,15,53,6,1,5,3,37,37,37,16,9,20,18,0,1,0,7,0,249,0,2,39,2,343,15,11,3,64,3,3,20,14,6,9,55,7,20,1,0,18,8,5,2,2,2,0,0,0,4,0,0,7,9,2,1,17,29,16,64,0
Otu000053,0,0,0,0,51,32,33,25,37,152,90,32,32,57,4,3,2,41,35,26,24,28,40,40,21,0,54,78,0,366,27,0,20,15,5,73,85,231,7,35,0,0,105,5,144,7,117,0,13,35,56,112,69,38,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
