Group,L0_G,L1_G,L8_G,L9_G,L10_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_R
Otu000086,0.008706756,0,1.074443592,0,0.033565808,0,0,0,0,0,0,0.197689504,0,0,0,0,0,0.389311626,0.008635579,0,0.143988481,0,0,0,0,0,0,0,0
Otu000087,0.014511261,0,0,0,0,0,0,0,0,0,0,0,0,0.352839931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000088,0.091420943,0.288436532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450958286,0.268978502,0,0,0,0,0,0,0,0,0,0,0,0
Otu000089,0.00725563,0,0,0,0.003729534,0,0,0,0,0,0,0,0.043979,0,0,0,0,0,0,0,0,0.023777578,0,0,0,0.591810621,0,0,0
Otu000090,0.023218017,0.1465825,0,0,0,0,0,0,0,0,0.148648106,0.284178662,0.049476375,0,0.025842116,0,0,0,0,0,0,0,0,0,1.179361179,0,0,0,0
Otu000091,0,0,0,0,0,0,0,0,0,1.136975242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000092,0,0,0,0,0,0,0,0,0,0.262378902,0,0,0,0,0,0,0,0,0.064766839,0,0,0,0,0,0,1.183621241,0,0,0
Otu000093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.653742388,0,0
Otu000094,0,0,0,0,0,0,0,0,0,0.181646932,0,0,0,0.025817556,0,0,0,0,0,0,0,0,0,0,0,0.951695457,0,0,0
Otu000095,0,0,0,0,0.026106739,0,0,0,0,0,0,0,0,0,0,0,0,0.371615643,0,0,0,0,0,0,0,0,0,0,0
Otu000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000097,0.087067564,0.106390524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304396843,0,0,0,0.003469271,0.105991521,0.049253554,0.030456698,0.063481549,0,0,0,0,0
Otu000098,0,0,0,0,0,0,0,0,0,0,0.172753204,0,0,0,0.006741422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000099,0,0,0,0,0,0,0,0.527915976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000101,0,0,0,0,0.014918137,0,0,0.088446656,0,0,0,0.673379873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000102,0.18864639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062006764,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000103,0,0,0,0,0,0,0,0,0,0.888051668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000104,0,0,0,0,0.003729534,0.015713388,0.00538445,0.06909895,0,0,0,0,0.01099475,0,0.038201389,0,0,0.017695983,0,0,0,0,0,0,0,0,0,0,0
Otu000106,0,0,0,0,0,0,0,0,0,0,0.2209634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199713501,0
Otu000107,0,0,0,0.004417351,0,0,0,0,0,0.013455328,0,0,0,0.186460126,0.011235703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000108,0,0,0,0,0,0,0,0,0,0.820775027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134825014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000110,0,0,0,0,0,0,0,0,0,0.618945102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632082016,0,0
Otu000111,0,0,0,0,0.022377205,0,0,0,0,0,0,0,0.013743438,0.071715433,0,0,0,0,0,0,0,0,0,0,0,0,1.163955908,0,0
Otu000112,0.166879498,0.004728468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000113,0.117541212,0.127668629,0,0,0.003729534,0,0,0,0,0,0,0,0,0.002868617,0.00112357,0.135287486,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000114,0,0,0,0,0,0,0,0,0,0,0,0.222400692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005968724,0.848214286
Otu000115,0,0,0,0,0,0,0,0,0,0,0.004017516,0.135911534,0.03298425,0.163511188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000116,0,0,0,0.295962541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000117,0,0,0,0.393144271,0,0,0,0,0,0,0,0,0.071465875,0,0,0,0,0,0,0,0,0,0,0,0,0.559820857,0,0,0
Otu000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600028967,0,0,0,0,0,0,0,0,0,0,0,0
Otu000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295467585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000121,0,0,0,0.638307271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000123,0.018864639,0.411376693,0,0,0,0,0,0,0,0.141280947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029761905
Otu000124,0,0,0,0,0,0,0,0,0,0.067276642,0.056245229,0.006177797,0.008246063,0.04302926,0,0,0,0,0,0,0,0,0,0,0,0.023992322,0.192707932,0.065655963,0.148809524
Otu000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017695983,0,0.03816198,0.123990081,0.163046247,0.007614175,0.088322155,0,0,0,0,0
Otu000126,0,0,0,0,0,0,0,0,2.391857506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000127,0,0,0,0,0,0,0,0,0,0.625672766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000128,0,0,0,0,0,0,0,0,0,0,0.369611506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200411012,0,0,0,0,1.094581053,0,0
Otu000130,0,0,0,0,0,0,0,0,0,0,0,0.098844752,0.030235563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93708965,0
Otu000131,0,0,0,0,0,0,0,0,0,0,0.032140131,0,0,0.054503729,0.068537786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000132,0,0,0,0,0,0,0,0,0,0,0.301313728,0,0.03298425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006908463,0,0,0,0,0,0,0,0,0,0
Otu000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608809836,0
Otu000136,0,0,0,0,0,0,0,0,0,0.558396125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000137,0,0,0,0,0,0,0,0,0,0,0.004017516,0.006177797,0,0.054503729,0,0,0,0,0,0,0,0,0,0,0,0,0.554998844,0,0.267857143
Otu000138,0,0,0,0,0,0,0,0,0,0.262378902,0,0,0,0.045897877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489435359,0
Otu000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116220576,0.171986241,0.122284686,0.028933863,0,0,0,0,0,0
Otu000140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051635112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000142,0,0,0,0,0,0,0,0,0,0,0.136595557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061666538,0,0
Otu000143,0,0,0,0,0,0,0,0,0,0,0.04419268,0,0,0,0.04269567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000144,0,0,0,0,0,0,0,0,0,0,0,0.450979181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25297619
Otu000145,0,0,0,0,0,0,0,0,0,0,0.313366277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390712666,0
Otu000147,0,0,0.153491942,0,0,0,0.129226793,0,0,0,0,0,0,0,0,0,0,0.017695983,0,0,0,0,0,0,0,0,0,0,0
Otu000148,0,0,0,0,0,0,0,0,0,0,0,0,0.071465875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000149,0.014511261,0.002364234,0,0,0,0,0,0,0,0,0.249086015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389311626,0.020725389,0.166525005,0.113990881,0.016983984,0.018274019,0.000920022,0,0,0,0,0
Otu000151,0,0,0,0,0,0,0,0,0,0,0,0.142089331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000152,0,0,0,0,0,0,0,0,0,0,0,0,0.008246063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567028769,0
Otu000153,0,0,0,0,0,0,0,0,0,0.228740581,0,0.203867301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000154,0,0,0,0,0,0,0,0,0,0,0,0.284178662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000156,0,0,0,0,0,0,0,0,0,0.282561895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220238095
Otu000157,0,0,0,0,0,0,0,0,0,0,0.072315295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083189902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000159,0,0,0,0,0,0,0,0,1.730279898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000160,0,0,0,0,0,0,0,0,0,0,0.172753204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000162,0,0,0,0,0,0,0,0,0,0.006727664,0,0,0,0.149168101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134057538,0
Otu000164,0,0,0,0,0,0,0,0,0,0.100914962,0,0,0,0,0.04269567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223214286
Otu000165,0,0,0,0,0,0,0,0,0,0.013455328,0,0.105022549,0,0.051635112,0,0,0,0,0,0,0,0,0,0,0,0.423864363,0,0,0
Otu000166,0,0,0,0,0,0,0,0,0,0,0,0,0.002748688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000167,0,0,0,0,0,0,0,0,0,0,0,0,0.16492125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000168,0,0,0,0,0,0,0,0,0,0,0,0.203867301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393935777,0
Otu000169,0,0,0,0,0,0,0,0,0,0.141280947,0.152665622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
