Group,Control,Control,Control
ASV000701,0,0,0
ASV000702,0,0,0
ASV000703,0.10651896,0.051226573,0
ASV000704,0.06922509,0.016827971,0
ASV000705,0.047400853,0.037732311,0
ASV000706,0.068537859,0.051339445,0
ASV000707,0.024970941,0.032188841,0
ASV000708,0,0,0
ASV000709,0,0,0.118717847
ASV000710,0.158225004,0.036067124,0
ASV000711,0,0.050333348,0
ASV000712,0,0,0
ASV000713,0,0,0
ASV000714,0,0,0
ASV000715,0,0,0
ASV000716,0,0,0
ASV000717,0,0,0
ASV000718,0,0,0
ASV000719,0,0,0
ASV000720,0.061159622,0.04800815,0
ASV000721,0.066931992,0.049000341,0
ASV000722,0.047664442,0.04415206,0
ASV000723,0,0.062695925,0
ASV000724,0,0.042385977,0
ASV000725,0,0,0
ASV000726,0,0,0
ASV000727,0.300606356,0,0
ASV000728,0.07524466,0.05793841,0
ASV000729,0.083412774,0.04415206,0
ASV000730,0,0.016225864,0
ASV000731,0,0.03879168,0
ASV000732,0,0.060929842,0
ASV000733,0,0.119311964,0
ASV000734,0,0,0
ASV000735,0,0,0
ASV000736,0,0,0
ASV000737,0,0,0
ASV000738,0,0,0
ASV000739,0,0,0
ASV000740,0.093611013,0.005298247,0
ASV000741,0.126766342,0,0
ASV000742,0.075899091,0.061329773,0
ASV000743,0.095328885,0,0.069252078
ASV000744,0.083412774,0.048567266,0
ASV000745,0,0.023367864,0
ASV000746,0,0.056949488,0
ASV000747,0,0.060929842,0
ASV000748,0,0.060929842,0
ASV000749,0,0.060929842,0
ASV000750,0,0,0
ASV000751,0,0,0
ASV000752,0.09024596,0.015681743,0
ASV000753,0,0.027583969,0
ASV000754,0,0.060046801,0
ASV000755,0,0.032672524,0
ASV000756,0,0,0
ASV000757,0,0,0
ASV000758,0,0,0
ASV000759,0,0,0
ASV000760,0,0,0
ASV000761,0.138474648,0.070190948,0
ASV000762,0.086733454,0.005359775,0
ASV000763,0.147283749,0,0
ASV000764,0.022845953,0.051556416,0
ASV000765,0.016318538,0,0
ASV000766,0,0.042109471,0
ASV000767,0,0.05916376,0
ASV000768,0,0.056514636,0
ASV000769,0,0.016079325,0.001648859
ASV000770,0,0,0
ASV000771,0,0,0
ASV000772,0,0,0
ASV000773,0,0,0
ASV000774,0.188291035,0.011479536,0
ASV000775,0.07110128,0.039736854,0
ASV000776,0.009791123,0.051997359,0
ASV000777,0.006527415,0.051997359,0
ASV000778,0,0.054264871,0
ASV000779,0,0,0
ASV000780,0,0,0
ASV000781,0.254470607,0.002679887,0
ASV000782,0.075051351,0.026675819,0.006595436
ASV000783,0.026109661,0.016316292,0
ASV000784,0.016318538,0.034227069,0
ASV000785,0.172783603,0.074258906,0
ASV000786,0.017874166,0.050333348,0
ASV000787,0,0.054859481,0
ASV000788,0,0.057397678,0
ASV000789,0,0.073569294,0
ASV000790,0,0.08974091,0
ASV000791,0,0,0
ASV000792,0,0,0
ASV000793,0,0,0
ASV000794,0,0,0
ASV000795,0,0,0
ASV000796,0.046557655,0.04415206,0
ASV000797,0.207872962,0,0
ASV000798,0.01305483,0.050333348,0.003297718
ASV000799,0,0.052822714,0
ASV000800,0,0.052822714,0
ASV000801,0,0.053803381,0
ASV000802,0,0.043269018,0
ASV000803,0,0,0
ASV000804,0.309925515,0,0
ASV000805,0.07110128,0,0
ASV000806,0.083301637,0.027624229,0
ASV000807,0.043465573,0.03557014,0
ASV000808,0,0,0
ASV000809,0,0,0
ASV000810,0,0,0
ASV000811,0.199615075,0.015681743,0
ASV000812,0,0.021603894,0
ASV000813,0,0.025150089,0
ASV000814,0,0.011960615,0
ASV000815,0,0,0
ASV000816,0,0,0
ASV000817,0,0,0
ASV000818,0,0,0
ASV000819,0,0,0
ASV000820,0,0,0
ASV000821,0,0,0
ASV000822,0.090165272,0.002649124,0
ASV000823,0.059580553,0.000883041,0
ASV000824,0,0.050346649,0
ASV000825,0,0.052982472,0
ASV000826,0,0,0
ASV000827,0,0,0
ASV000828,0,0,0
ASV000829,0,0,0
ASV000830,0.197278472,0,0
ASV000831,0.098415557,0.029140359,0
ASV000832,0.055951043,0.039253743,0
ASV000833,0.058746736,0.034664906,0
ASV000834,0,0.020633873,0
ASV000835,0,0,0
ASV000836,0,0,0
ASV000837,0,0,0
ASV000838,0,0,0
ASV000839,0,0,0
ASV000840,0,0,0
ASV000841,0,0,0
ASV000842,0,0,0
ASV000843,0.159778441,0,0
ASV000844,0.010651896,0.03708773,0.646477999
ASV000845,0.011850213,0.00243388,0.008244295
