Group,Class,Long,Short,Daily
ASV0212,Alphaproteobacteria,0.040199882,0.057027999,0.052144022
ASV0213,Spirochaetia,0.100068929,0,0
ASV0216,Deltaproteobacteria,0.064547058,0,0
ASV0217,Bacteroidia,0.357872617,0,0
ASV0219,Bacilli,0,0,0
ASV0221,Cloacimonadia,0.075944909,0,0
ASV0223,Gammaproteobacteria,8.96568E-05,0.002320136,0.00395801
ASV0224,Clostridia,0.114746427,0,0
ASV0225,Deltaproteobacteria,0.079859357,0.002034224,0
ASV0227,Bacteroidia,0.000448284,0.002301891,0.00745848
ASV0228,Alphaproteobacteria,0.021456817,0.03796864,0.043776102
ASV0233,Bacteroidia,0,0,0
ASV0234,Alphaproteobacteria,0.021149223,0,0
ASV0235,Gammaproteobacteria,0.003609935,0.001533594,0.00942089
ASV0238,Gammaproteobacteria,0.033568076,0.009534399,0.000628741
ASV0239,Deltaproteobacteria,8.49933E-05,0,0
ASV0241,Clostridia,0.000179313,0.003043304,0.006109814
ASV0242,Phycisphaerae,0.073402103,0.004821692,0.000131909
ASV0245,Alphaproteobacteria,0.04885415,0.014888534,0.003252855
ASV0247,Gammaproteobacteria,0.002352961,0.000952994,0.001538843
ASV0248,Erysipelotrichia,0,0.003423571,0.007449285
ASV0249,Gammaproteobacteria,0.056642661,0,0
ASV0250,Clostridia,0,0.000697131,0
ASV0251,Gammaproteobacteria,0.00026897,0.000825406,0.002934534
ASV0253,Campylobacteria,8.96568E-05,0.002340533,0.018768204
ASV0254,Alphaproteobacteria,0.002813347,0.004711349,0.007370049
ASV0256,Gammaproteobacteria,0.000181316,0.002050623,0.003473412
ASV0257,Bacteroidia,0,0,0
ASV0259,Bacteroidia,0.045792596,0,0
ASV0260,Spirochaetia,0.106618847,0,0
ASV0261,Deltaproteobacteria,0.006627598,0.075205558,0.058925775
ASV0262,Phycisphaerae,0.0681893,0.000697131,0
ASV0264,Clostridia,0.000179313,0.003031201,0.008865528
ASV0265,Gammaproteobacteria,0.0056311,0.008780369,0.001582905
ASV0266,Gammaproteobacteria,0.019308519,0,0
ASV0267,Gammaproteobacteria,8.96568E-05,0.001108103,0.011527453
ASV0268,Bacilli,0.000289741,0,0
ASV0271,Alphaproteobacteria,0.051360708,0.009857048,0.002233984
ASV0272,Clostridia,0.000717254,0.00142949,0.004788276
ASV0273,Bacteroidia,8.96568E-05,0.002225097,0.004946147
ASV0274,Gammaproteobacteria,0.024579381,0.020953663,0.011784831
ASV0277,Cloacimonadia,0.14842815,0,0
ASV0278,Bacteroidia,8.96568E-05,0.003435373,0.008652608
ASV0279,Bacteroidia,0.000270973,0,0.009790141
ASV0280,Alphaproteobacteria,0.036576392,0.005972519,0.005849223
ASV0284,Phycisphaerae,0.001222168,0,0
ASV0285,Bacteroidia,0,0.002139134,0.009537838
ASV0287,Bacteroidia,0.056790561,0,0.00036782
ASV0289,Gammaproteobacteria,0.009879394,0,0
ASV0290,Clostridia,0.000179313,0.003433702,0.006653684
ASV0294,Actinobacteria,8.96568E-05,0.001427895,0.004509157
ASV0295,Gammaproteobacteria,0.080743432,0.004837742,0.002273365
ASV0296,Clostridia,0,0.005576092,0.004352484
ASV0297,Gammaproteobacteria,0,0.001120009,0.004398987
ASV0298,Gammaproteobacteria,0.042530477,0.004222648,0.007861529
ASV0301,Alphaproteobacteria,0.008519792,0.005155935,0.001911684
ASV0302,Gammaproteobacteria,0.000415577,0,0
ASV0303,Clostridia,0.000181316,0.00201009,0.004754198
ASV0306,Gammaproteobacteria,0.002943943,0,0
ASV0307,Gammaproteobacteria,0,0.004442619,0.000891568
ASV0308,Gammaproteobacteria,0.000675452,0,0
ASV0309,Bacteroidia,0.000179313,0.000476497,0.012914234
ASV0311,Alphaproteobacteria,0.00835103,0.048598269,0.017099109
ASV0312,Gammaproteobacteria,0.012384357,0.002127309,0
ASV0313,Deltaproteobacteria,0.083237319,0.011686881,0
ASV0315,Gammaproteobacteria,0.000181316,0.003145736,0.004718417
ASV0317,Gammaproteobacteria,0.054152434,0.004462441,0.002532415
ASV0318,Bacteroidia,0.000181316,0.001293368,0.012393076
ASV0319,Alphaproteobacteria,0.007523558,0.036482768,0.034344184
ASV0321,Gammaproteobacteria,0.009483303,0.050550721,0.017170617
ASV0323,Negativicutes,8.96568E-05,0.002942735,0.002255465
ASV0326,Saccharimonadia,0,0,0.012587005
ASV0331,Gammaproteobacteria,0,0.002905257,0.008907356
ASV0332,Clostridia,0,0,0
ASV0333,Bacteroidia,0,0,0.008126051
ASV0335,Alphaproteobacteria,0.000517022,0.056310586,0.035036219
ASV0336,Gammaproteobacteria,0.002536191,0.004392473,0
ASV0337,Actinobacteria,0.00164992,0,0
ASV0338,Gammaproteobacteria,0.006724132,0.001375871,0.002318545
ASV0341,Gammaproteobacteria,0.014849394,0.018065131,0.031960056
ASV0342,Gammaproteobacteria,0.000658421,0.000885391,0.007525305
ASV0343,Alphaproteobacteria,0.025049123,0.022081806,0.016193057
ASV0344,Alphaproteobacteria,0.024819401,0,0
ASV0347,Gammaproteobacteria,0.022498801,0.038267797,0
ASV0349,Gammaproteobacteria,0.000362633,0.004294096,0.003194037
ASV0350,Gammaproteobacteria,0.000179313,0.008228612,0.006206967
ASV0351,Bacilli,0.000230764,0,0
ASV0352,Deltaproteobacteria,0.158717715,0,0
ASV0353,Deltaproteobacteria,0.041358812,0,0
